S.N.|Candidate|Party|EVM Votes|Postal Votes|Total Votes|% of Votes|UT_OR_STATE|CONSTITUENCY
12.0|KARIKALA CHOLAN S|Independent|1209|8|1217|0.12|Tamil Nadu|THANJAVUR
13.0|NOTA|None of the Above|12674|159|12833|1.25|Tamil Nadu|THANJAVUR
|Total||1022796|5910|1028706||Tamil Nadu|THANJAVUR
1.0|SELVARAJ V|Communist Party of India|462759|2285|465044|47.79|Tamil Nadu|NAGAPATTINAM
2.0|DR SURSITH SANKAR G|All India Anna Dravida Munnetra Kazhagam|254676|1411|256087|26.32|Tamil Nadu|NAGAPATTINAM
3.0|KARTHIKA M|Naam Tamilar Katchi|130846|448|131294|13.49|Tamil Nadu|NAGAPATTINAM
4.0|RAMESHGOVIND S G M|Bharatiya Janata Party|101535|638|102173|10.5|Tamil Nadu|NAGAPATTINAM
5.0|VIJAYARAGAVAN N|Independent|3072|30|3102|0.32|Tamil Nadu|NAGAPATTINAM
6.0|SUBRAMANIAN K|Independent|2434|33|2467|0.25|Tamil Nadu|NAGAPATTINAM
7.0|JAGADEESH J BE|Bahujan Samaj Party|1789|17|1806|0.19|Tamil Nadu|NAGAPATTINAM
8.0|BOOMINATHAN B|Desiya Makkal Sakthi Katchi|1048|2|1050|0.11|Tamil Nadu|NAGAPATTINAM
9.0|PREM S|Independent|1047|23|1070|0.11|Tamil Nadu|NAGAPATTINAM
10.0|NOTA|None of the Above|8843|75|8918|0.92|Tamil Nadu|NAGAPATTINAM
|Total||968049|4962|973011||Tamil Nadu|NAGAPATTINAM
1.0|SUDHA R|Indian National Congress|516534|1925|518459|47.67|Tamil Nadu|MAYILADUTHURAI
2.0|BABU P|All India Anna Dravida Munnetra Kazhagam|246083|1193|247276|22.73|Tamil Nadu|MAYILADUTHURAI
3.0|STALIN M K|Pattali Makkal Katchi|165770|667|166437|15.3|Tamil Nadu|MAYILADUTHURAI
4.0|KALIYAMMAL P|Naam Tamilar Katchi|127276|366|127642|11.73|Tamil Nadu|MAYILADUTHURAI
5.0|KARTHICK A|Samaniya Makkal Nala Katchi|3888|3|3891|0.36|Tamil Nadu|MAYILADUTHURAI
6.0|ILANCHEZHIAN T|Bahujan Samaj Party|2878|20|2898|0.27|Tamil Nadu|MAYILADUTHURAI
7.0|BABU S|Independent|1832|6|1838|0.17|Tamil Nadu|MAYILADUTHURAI
8.0|MANIMARAN T|Independent|1710|1|1711|0.16|Tamil Nadu|MAYILADUTHURAI
9.0|NAGARAJAN K|Independent|1342|5|1347|0.12|Tamil Nadu|MAYILADUTHURAI
10.0|SILAMBARASAN D|Independent|1255|1|1256|0.12|Tamil Nadu|MAYILADUTHURAI
11.0|JAFARULLAH KHAN F|Independent|1230|6|1236|0.11|Tamil Nadu|MAYILADUTHURAI
12.0|PANDIYARAJAN S|Independent|1169|5|1174|0.11|Tamil Nadu|MAYILADUTHURAI
13.0|TIMOTHY T|Independent|1165|10|1175|0.11|Tamil Nadu|MAYILADUTHURAI
14.0|VEDARETHINAM S|Anna MGR Dravida Makkal Kalgam|780|2|782|0.07|Tamil Nadu|MAYILADUTHURAI
15.0|NITHIYANANTHAM S|Naadaalum Makkal Katchi|735|4|739|0.07|Tamil Nadu|MAYILADUTHURAI
16.0|SRINIVASAN V|Independent|609|8|617|0.06|Tamil Nadu|MAYILADUTHURAI
17.0|DHAKSHINAMOORTHY M|Independent|518|17|535|0.05|Tamil Nadu|MAYILADUTHURAI
18.0|NOTA|None of the Above|8642|53|8695|0.8|Tamil Nadu|MAYILADUTHURAI
|Total||1083416|4292|1087708||Tamil Nadu|MAYILADUTHURAI
1.0|THIRUMAAVALAVAN THOL|Viduthalai Chiruthaigal Katchi|501851|3233|505084|43.28|Tamil Nadu|CHIDAMBARAM
2.0|CHANDRAHASAN M|All India Anna Dravida Munnetra Kazhagam|399502|2028|401530|34.4|Tamil Nadu|CHIDAMBARAM
3.0|KARTHIYAYINI P|Bharatiya Janata Party|166114|2379|168493|14.44|Tamil Nadu|CHIDAMBARAM
4.0|JANCIRANI R|Naam Tamilar Katchi|65116|473|65589|5.62|Tamil Nadu|CHIDAMBARAM
5.0|NEELAMEGAM K|Bahujan Samaj Party|3177|26|3203|0.27|Tamil Nadu|CHIDAMBARAM
6.0|TAMILVENDHAN P|Independent|3043|19|3062|0.26|Tamil Nadu|CHIDAMBARAM
7.0|PERUMAL S|Independent|2231|8|2239|0.19|Tamil Nadu|CHIDAMBARAM
8.0|VETTRIVEL G|Independent|2039|2|2041|0.17|Tamil Nadu|CHIDAMBARAM
9.0|ARCHUNAN M A T|Independent|1833|3|1836|0.16|Tamil Nadu|CHIDAMBARAM
10.0|DHAMODHARAN S|Naadaalum Makkal Katchi|1628|14|1642|0.14|Tamil Nadu|CHIDAMBARAM
